epoch,loss,training time,token throughput,input throughput
1,3.064361095428467,538.6625580787659,3661.334856898689,28.604178569521007
2,2.854038953781128,538.7742779254913,3660.5756451363936,28.598247227628075
3,2.7201640605926514,538.1399569511414,3664.8904704525808,28.631956800410787
4,2.612576961517334,537.212673664093,3671.216441243505,28.681378447214882
5,2.524967908859253,538.4059269428253,3663.080031824084,28.617812748625656
6,2.451619863510132,538.2671434879303,3664.0244976130957,28.62519138760231
7,2.394033193588257,539.8850169181824,3653.0445154007366,28.539410276568255
8,2.34967303276062,538.3490319252014,3663.4671617167915,28.620837200912433
9,2.3174402713775635,538.2318511009216,3664.264751270167,28.62706836929818
10,2.2963035106658936,538.8540639877319,3660.0336376880355,28.594012794437777
