epoch,loss,training time,token throughput,input throughput
1,3.4199986457824707,360.93662190437317,5464.183682980561,42.68893502328563
2,3.2382678985595703,359.2720401287079,5489.500377745671,42.88672170113806
3,3.138422966003418,358.9422981739044,5494.543301342754,42.92611954174026
4,3.062098741531372,359.39638900756836,5487.601045313974,42.871883166515424
5,3.0001423358917236,360.78291606903076,5466.5116117156795,42.707121966528746
6,2.9514076709747314,359.35039043426514,5488.303484564525,42.87737097316035
7,2.9114694595336914,359.23308634757996,5490.095636936273,42.89137216356463
8,2.879739999771118,359.2561676502228,5489.742912138914,42.88861650108527
9,2.8573033809661865,359.53125739097595,5485.542520869847,42.85580094429568
10,2.843262195587158,359.68338227272034,5483.222459536965,42.83767546513254
