epoch,loss,training time,token throughput,input throughput
1,3.0545654296875,955.940593957901,2063.1240188622596,16.118156397361403
2,2.8212239742279053,957.7333331108093,2059.2621472138053,16.087985525107854
3,2.668144464492798,956.7084467411041,2061.4681585786248,16.105219988895506
4,2.544809103012085,957.0156269073486,2060.806474365895,16.100050580983556
5,2.4433693885803223,956.0880823135376,2062.805756586382,16.11566997333111
6,2.360382080078125,957.0420119762421,2060.7496591789736,16.09960671233573
7,2.294018030166626,957.17156291008,2060.4707415292046,16.09742766819691
8,2.2421064376831055,957.2355482578278,2060.333011649489,16.096351653511633
9,2.2051892280578613,957.0444936752319,2060.7443154772113,16.099564964665714
10,2.1803030967712402,957.2076454162598,2060.3930708705752,16.09682086617637
